platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,manual_label,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100
kakao,금금 성수점,reviewer_001153,54,2025-01-28,,,닭곰탕에서 닭냄새 많이나고 다른 국수류는 평타 공간 비좁아 테이블 없어서 기다리는거지 맛있어서 기다리는 곳은 아님. 기다리며 먹을 곳은 아님. 감자전은 간 부족. 서버는 불친절 한 편. 지나다가 사람 없으면 들어가서 먹을만한 곳 그 이상도 이하도 아님. 구지 장점을 찾자면 음식사진은 잘 나옴. 사진과 맛은 별개니 참고할 것.,182,1,2.0,3.1,실버 레벨,1,12.699999999999998,1,high,1.0,2.0,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_50:+0.7 | has_photo_with_detail:+0.2,2,1,4,1,0,0,2,0,0,0,0,0,5,0,0,7,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
kakao,소문난성수감자탕,reviewer_001447,13,2025-12-05,,,"다시는 안갈래요. 친구랑 갔는데 직원 한 분 응대하는 태도가 너무너무 무안하고 기분 나빴어요. 감자국이랑 감자탕 중에 뭐 시킬지 고민하는중에 직원 한 분이 빨리 시키라는 식으로 재촉하고... 아직 시키지도 않았는데 n번 테이블 잘못나왔잖아~ 면박주고...ㅋㅋㅋㅠ 아니 주문 실수 본인이 해놓고 왜 혼내세요ㅠㅠㅠ 우거지랑 일반 중에 고민하니까 ""메뉴 정확히 말하세요"" 짜증내고....웨이팅 없이 먹어서 다행이었지 웨이팅까지 했음 억울해 미칠뻔ㅎㅎ +)간 거 인증요 하 진짜 딴 데 가서 먹을걸ㅠ 딱히 고기 실하거나 하지도 않고....^_^....",304,1,1.0,4.3,실버 레벨,1,13.999999999999998,1,high,1.0,1.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | has_photo_with_detail:+0.2,0,5,3,4,0,0,6,0,3,0,0,2,5,1,0,8,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
naver,금금 성수점,reviewer_000983,30,2026-04-10,1.0,,고기도 많이 들어있고 맛있어용 버섯 싫어해서 하나는 빼달라고 미리 말씀드렸더니 빼고 해주셨습니당!! 가게도 깔끔하고 좋았어유,69,1,,,,0,11.4,1,high,1.0,,first_visit:-0.2 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_not_rich:+0 | photo_without_enough_detail:-0.2,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
naver,소문난성수감자탕,reviewer_001819,1573,2025-10-18,1.0,영수증,에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에에에에에에에에에엥에에에에엥에에에에에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에엥에에에에,400,1,,,,0,0.6000000000000001,0,ambiguous,0.5,,first_visit:-0.2 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
kakao,락희옥 마포본점,reviewer_000580,619,2025-05-13,,영수증,후기 알바 심하네.. ㅋㅋㅋ 가격값 못함,22,1,2.0,4.1,골드 레벨,0,4.5,0,high,1.0,2.0,category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_narrative:+1.5 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
naver,태양곱창 성수점,reviewer_002272,24,2026-01-28,1.0,,곱창전골 너무 맛있고 직원분들이 너무 친절하세요!!,28,1,,,,0,2.5999999999999996,0,ambiguous,0.5,,short_generic_but_specific:-0.2 | first_visit:-0.2 | has_menu:+0.3 | positive_narrative:+2.0 | category_count:+0.7 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2,2,1,2,1,0,0,0,0,2,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
kakao,이태리국시 성수,reviewer_001892,1,2026-04-20,,,파스타와 대창이면 느끼할 줄 알았는데 느끼함이 하나도 없이 담백하고 맛있습니다. 가게 분위기도 좋고 음식 퀄리티도 좋습니다!,69,1,5.0,5.0,브론즈 레벨,1,12.399999999999999,1,high,1.0,5.0,account_review_count_is_1:-1.0 | has_menu:+0.3 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | photo_without_enough_detail:-0.2,2,3,3,2,0,0,2,0,0,0,1,1,0,0,0,2,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0
kakao,이태리국시 성수,reviewer_001360,1,2026-04-25,,영수증,음식들이 특이하고 맛있어요^^ 특히 시그니처 메뉴들이 좋네요~,34,1,5.0,5.0,브론즈 레벨,0,-7.7,0,low,0.2,1.0,strong_generic_without_specificity:-1.5 | generic_without_detail:-3 | no_number_detail_with_praise:-1 | account_review_count_is_1:-1.0 | photo_without_enough_detail:-0.2 | kakao_5star_short_low_specificity:-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
naver,굴다리식당,reviewer_000040,560,2026-04-08,1.0,영수증,음식이 맛있고 사장님이랑 직원분들이 친절합니다.,26,1,,,,0,1.0999999999999999,0,ambiguous,0.5,,short_generic_but_specific:-0.2 | first_visit:-0.2 | category_count:+0.7 | enthusiastic_but_not_rich:+0 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
naver,할머니의 레시피,reviewer_002427,369,2025-05-03,1.0,,쌈밥정식 시켰는데 깔끔하고 정갈한 한창 차림이 나옴 제육쌈에 젖갈에 아주 잘 먹고 나옴~,49,1,,,,0,3.6,0,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | has_reason_with_length:+0.8 | category_count:+0.7 | short_but_menu_only_food_review:+0.2 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
kakao,일등식당,reviewer_000783,39,2026-01-03,,,고기는 잡내나고 국물도 맹탕..육수 우려서 하는게 아닌것 같은데 왜 맛집 인건지 어이가 없네..,53,0,1.0,2.7,실버 레벨,1,5.9,1,high,1.0,1.0,has_menu:+0.3 | has_sensory_detail:+0.6 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | has_reason_with_length:+0.8 | category_count:+0.7 | enthusiastic_but_not_rich:+0 | short_but_specific_food_review:+0.5,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
naver,조선시대,reviewer_000356,16,2026-04-25,1.0,영수증,대기있었는데 금방 빠져서 바로 들어갈 수 있었어요!! 딸기 막걸리 맛있어료 추천,44,1,,,,0,9.7,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | category_count:+0.7 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2,2,2,1,1,0,0,1,0,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
naver,할머니의 레시피,reviewer_002426,805,2025-05-04,1.0,,반찬이 정갈하게 잘 나와요,14,1,,,,0,-2.2,0,low,0.2,,short_low_specificity:-1.5 | menu_without_experience_detail:-1.0 | first_visit_short_low_specificity:-1 | has_menu:+0.3 | short_but_menu_only_food_review:+0.2 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
kakao,능동미나리 성수점,reviewer_001162,282,2026-04-08,,,능동미나리 정말정말 너무너무 맛있어용!! 육전도 진짜 맛있고 평일에도 웨이팅이 있지만 점심시간보다 조금 빠르게가면 별로 안기다려요~ 주말은 웨이팅 대박임ㅋ,86,1,5.0,4.7,골드 레벨,1,15.499999999999998,1,high,1.0,5.0,experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,3,3,1,3,0,1,4,0,4,0,0,2,4,0,0,3,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
kakao,락희옥 마포본점,reviewer_000583,2,2025-04-03,,영수증,"음식이 너무 맛있고, 와인/위스키 콜키지 프리라서 너무 좋네요~",35,1,5.0,3.0,브론즈 레벨,0,-8.2,0,low,0.2,1.0,strong_generic_without_specificity:-1.5 | generic_without_detail:-3 | no_number_detail_with_praise:-1 | account_review_count_under_5:-0.5 | many_intensifier_weak_context:-1 | photo_without_enough_detail:-0.2 | kakao_5star_short_low_specificity:-1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
kakao,훼미리손칼국수보쌈,reviewer_002474,79,2025-10-25,,,보쌈과 김치도 좋지만 칼국수 육수가 진국입니다!! 가격은 1만원으로 올랐어요~ 25년 10월 이후 이제는 다른곳에 가는게 좋은듯~,72,1,1.0,3.0,실버 레벨,1,9.7,1,high,1.0,1.0,menu_without_experience_detail:-1.0 | has_menu:+0.3 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | account_review_count_over_50:+0.7 | photo_without_enough_detail:-0.2,0,2,4,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
naver,금금 성수점,reviewer_001337,39,2026-04-16,1.0,영수증,메뉴가 새롭고 근데 맛도 좋아요 문어국수 늦으면 품절되요 서두르세요,37,1,,,,0,0.6000000000000001,0,ambiguous,0.5,,menu_without_experience_detail:-1.0 | first_visit:-0.2 | has_menu:+0.3 | has_detailed_negative:+1.5 | enthusiastic_but_not_rich:+0 | short_but_menu_only_food_review:+0.2 | photo_without_enough_detail:-0.2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
kakao,을밀대 본점,reviewer_000736,340,2026-05-02,,,인생 두번째 평양냉면으로 첫평냉집이 너무 맛집이었어서 그랬는지 \16000 같은 가격에 첫평냉집은 특별하기도 하고 대만족이었는데 을밀대는 같은 가격에 평범하고 그저 그랬어요. 평냉답게 슴슴하고 크게 특별한 것은 없었고 고기나 서비스나 여러모로 옛날집같고 평범하게 느껴진..! 주말 오후3시 방문. 줄은 좀 길었고 항상 긴것 같아요! 이 가격에 재방문은 굳이 안할것 같긴 한ㅎ..,211,1,2.0,4.1,골드 레벨,1,19.3,1,high,1.0,2.0,experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,2,6,3,2,1,0,7,0,1,0,0,1,4,1,3,5,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1
